# Spectral Data
# f in Hz A in dBV
Hz dBV
0.000000 -13.942701
1.464844 -13.204845
2.929687 -12.576747
4.394531 -12.043003
5.859375 -11.637319
7.324219 -11.338841
8.789062 -11.147334
10.253906 -11.055148
11.718750 -11.052612
13.183594 -11.147603
14.648437 -11.264567
16.113281 -11.420076
17.578125 -11.576912
19.042969 -11.754877
20.507812 -11.865007
21.972656 -11.935255
23.437500 -11.951572
24.902344 -11.921883
26.367187 -11.929547
27.832031 -11.957509
29.296875 -11.988999
30.761719 -12.054073
32.226562 -12.190961
33.691406 -12.340184
35.156250 -12.471862
36.621094 -12.576409
38.085937 -12.735684
39.550781 -12.830654
41.015625 -12.858981
42.480469 -12.886751
43.945312 -12.873018
45.410156 -12.757756
46.875000 -12.672141
48.339844 -12.577644
49.804687 -12.533662
51.269531 -12.470544
52.734375 -12.403929
54.199219 -12.378011
55.664062 -12.359871
57.128906 -12.406290
58.593750 -12.533058
60.058594 -12.597598
61.523437 -12.679656
62.988281 -12.673730
64.453125 -12.651316
65.917969 -12.643628
67.382812 -12.611623
68.847656 -12.558288
70.312500 -12.534953
71.777344 -12.459117
73.242187 -12.435655
74.707031 -12.370071
76.171875 -12.344978
77.636719 -12.318837
79.101562 -12.279436
80.566406 -12.292280
82.031250 -12.402502
83.496094 -12.430204
84.960937 -12.453233
86.425781 -12.535659
87.890625 -12.676308
89.355469 -12.751915
90.820312 -12.723668
92.285156 -12.765617
93.750000 -12.842001
95.214844 -12.915969
96.679687 -12.960260
98.144531 -12.958488
99.609375 -12.953785
101.074219 -12.975211
102.539062 -12.989285
104.003906 -12.960970
105.468750 -12.960481
106.933594 -12.985016
108.398437 -13.047441
109.863281 -13.101651
111.328125 -13.126928
112.792969 -13.120827
114.257812 -13.094006
115.722656 -13.056845
117.187500 -13.001685
118.652344 -13.016473
120.117187 -13.045897
121.582031 -12.956312
123.046875 -12.897386
124.511719 -12.827514
125.976562 -12.713860
127.441406 -12.637093
128.906250 -12.573133
130.371094 -12.497792
131.835937 -12.423589
133.300781 -12.279614
134.765625 -12.112174
136.230469 -11.954012
137.695312 -11.782011
139.160156 -11.655701
140.625000 -11.613642
142.089844 -11.670149
143.554687 -11.797521
145.019531 -11.993061
146.484375 -12.220146
147.949219 -12.419225
149.414062 -12.507267
150.878906 -12.598077
152.343750 -12.691319
153.808594 -12.807975
155.273437 -12.865136
156.738281 -12.916200
158.203125 -13.012534
159.667969 -13.088484
161.132812 -13.162894
162.597656 -13.246654
164.062500 -13.292014
165.527344 -13.326068
166.992187 -13.368197
168.457031 -13.415468
169.921875 -13.483186
171.386719 -13.527621
172.851562 -13.545442
174.316406 -13.558720
175.781250 -13.580776
177.246094 -13.547524
178.710937 -13.505181
180.175781 -13.505351
181.640625 -13.578564
183.105469 -13.584041
184.570312 -13.568674
186.035156 -13.496670
187.500000 -13.494674
188.964844 -13.483797
190.429687 -13.477939
191.894531 -13.495815
193.359375 -13.537626
194.824219 -13.559084
196.289062 -13.555896
197.753906 -13.525508
199.218750 -13.543470
200.683594 -13.524117
202.148437 -13.488736
203.613281 -13.456023
205.078125 -13.430794
206.542969 -13.370785
208.007812 -13.317475
209.472656 -13.335371
210.937500 -13.273367
212.402344 -13.251994
213.867187 -13.251799
215.332031 -13.240330
216.796875 -13.238352
218.261719 -13.249883
219.726562 -13.181229
221.191406 -13.094785
222.656250 -13.073178
224.121094 -13.046299
225.585937 -13.062437
227.050781 -13.050818
228.515625 -13.036838
229.980469 -12.986245
231.445312 -12.900718
232.910156 -12.871415
234.375000 -12.834026
235.839844 -12.799475
237.304687 -12.728813
238.769531 -12.718642
240.234375 -12.689222
