# Spectral Data
# f in Hz	A in dBV
0.000000	-14.004283
1.464844	-13.240946
2.929687	-12.627949
4.394531	-12.118516
5.859375	-11.735213
7.324219	-11.407348
8.789062	-11.224438
10.253906	-11.135541
11.718750	-11.146817
13.183594	-11.198439
14.648437	-11.353932
16.113281	-11.488094
17.578125	-11.633130
19.042969	-11.738722
20.507812	-11.816397
21.972656	-11.862113
23.437500	-11.899310
24.902344	-11.903909
26.367187	-11.896958
27.832031	-11.917890
29.296875	-11.964273
30.761719	-12.022869
32.226562	-12.095429
33.691406	-12.217092
35.156250	-12.389971
36.621094	-12.532281
38.085937	-12.695453
39.550781	-12.779384
41.015625	-12.864153
42.480469	-12.828726
43.945312	-12.812604
45.410156	-12.733512
46.875000	-12.680380
48.339844	-12.664405
49.804687	-12.614113
51.269531	-12.542222
52.734375	-12.403173
54.199219	-12.287052
55.664062	-12.191360
57.128906	-12.215081
58.593750	-12.332980
60.058594	-12.475625
61.523437	-12.536543
62.988281	-12.560239
64.453125	-12.567647
65.917969	-12.475746
67.382812	-12.395083
68.847656	-12.328325
70.312500	-12.320772
71.777344	-12.276618
73.242187	-12.235891
74.707031	-12.215370
76.171875	-12.179939
77.636719	-12.163468
79.101562	-12.149996
80.566406	-12.189670
82.031250	-12.249993
83.496094	-12.326542
84.960937	-12.387578
86.425781	-12.456427
87.890625	-12.531565
89.355469	-12.589339
90.820312	-12.661935
92.285156	-12.704042
93.750000	-12.679510
95.214844	-12.678006
96.679687	-12.709014
98.144531	-12.718855
99.609375	-12.738225
101.074219	-12.742752
102.539062	-12.742539
104.003906	-12.748500
105.468750	-12.722280
106.933594	-12.758915
108.398437	-12.814613
109.863281	-12.859919
111.328125	-12.874634
112.792969	-12.899707
114.257812	-12.890790
115.722656	-12.834525
117.187500	-12.787122
118.652344	-12.752169
120.117187	-12.693726
121.582031	-12.622843
123.046875	-12.499670
124.511719	-12.415074
125.976562	-12.253814
127.441406	-12.045887
128.906250	-11.839120
130.371094	-11.671799
131.835937	-11.507380
133.300781	-11.413431
134.765625	-11.423544
136.230469	-11.547593
137.695312	-11.711000
139.160156	-11.950611
140.625000	-12.209020
142.089844	-12.455142
143.554687	-12.699724
145.019531	-12.906923
146.484375	-12.973859
147.949219	-13.020177
149.414062	-13.078056
150.878906	-13.108562
152.343750	-13.097488
153.808594	-13.020356
155.273437	-12.940779
156.738281	-12.985352
158.203125	-13.144777
159.667969	-13.265233
161.132812	-13.369746
162.597656	-13.468094
164.062500	-13.490966
165.527344	-13.554856
166.992187	-13.585877
168.457031	-13.620680
169.921875	-13.670082
171.386719	-13.661890
172.851562	-13.640684
174.316406	-13.636638
