# Spectral Data
# f in Hz A in dBV
0.000000 -14.067822
1.464844 -13.279564
2.929687 -12.644539
4.394531 -12.131426
5.859375 -11.721038
7.324219 -11.426091
8.789062 -11.225725
10.253906 -11.135124
11.718750 -11.147262
13.183594 -11.190699
14.648437 -11.268103
16.113281 -11.374577
17.578125 -11.515376
19.042969 -11.624204
20.507812 -11.749459
21.972656 -11.853157
23.437500 -11.945100
24.902344 -11.996269
26.367187 -11.996321
27.832031 -11.993747
29.296875 -11.992069
30.761719 -12.039283
32.226562 -12.143338
33.691406 -12.278337
35.156250 -12.447493
36.621094 -12.600780
38.085937 -12.706525
39.550781 -12.814402
41.015625 -12.867695
42.480469 -12.899357
43.945312 -12.931596
45.410156 -12.879945
46.875000 -12.803645
48.339844 -12.746248
49.804687 -12.679721
51.269531 -12.580194
52.734375 -12.475657
54.199219 -12.345532
55.664062 -12.282585
57.128906 -12.335918
58.593750 -12.469796
60.058594 -12.573171
61.523437 -12.693917
62.988281 -12.721237
64.453125 -12.708466
65.917969 -12.716491
67.382812 -12.672690
68.847656 -12.601528
70.312500 -12.533082
71.777344 -12.460577
73.242187 -12.384211
74.707031 -12.349400
76.171875 -12.318035
77.636719 -12.294604
79.101562 -12.286617
80.566406 -12.321241
82.031250 -12.376392
83.496094 -12.448859
84.960937 -12.550953
86.425781 -12.616554
87.890625 -12.677613
89.355469 -12.759690
90.820312 -12.805511
92.285156 -12.832727
93.750000 -12.852275
95.214844 -12.905302
96.679687 -12.937213
98.144531 -12.951598
99.609375 -12.956549
101.074219 -12.947391
102.539062 -12.960579
104.003906 -12.972281
105.468750 -12.978315
106.933594 -12.997172
108.398437 -13.020708
109.863281 -13.036242
111.328125 -13.041957
112.792969 -13.099762
114.257812 -13.141466
115.722656 -13.183290
117.187500 -13.179672
118.652344 -13.162968
120.117187 -13.100526
121.582031 -13.026926
123.046875 -12.997159
124.511719 -12.986888
125.976562 -12.922256
127.441406 -12.843638
128.906250 -12.748204
130.371094 -12.643626
131.835937 -12.577804
133.300781 -12.480456
134.765625 -12.388897
136.230469 -12.269683
137.695312 -12.108016
139.160156 -11.941049
140.625000 -11.794825
142.089844 -11.711381
143.554687 -11.708216
145.019531 -11.771929
146.484375 -11.915877
147.949219 -12.104113
149.414062 -12.254687
150.878906 -12.387954
152.343750 -12.522530
153.808594 -12.603888
155.273437 -12.665297
156.738281 -12.734417
158.203125 -12.826956
159.667969 -12.963525
161.132812 -13.042999
162.597656 -13.126530
164.062500 -13.187480
165.527344 -13.260751
166.992187 -13.340688
168.457031 -13.375867
169.921875 -13.418502
171.386719 -13.470151
172.851562 -13.490053
174.316406 -13.529842
175.781250 -13.534464
177.246094 -13.538168
178.710937 -13.556572
180.175781 -13.581901
181.640625 -13.597418
183.105469 -13.547190
184.570312 -13.555892
186.035156 -13.572936
187.500000 -13.581549
188.964844 -13.576579
190.429687 -13.542221
191.894531 -13.572384
193.359375 -13.601267
194.824219 -13.574427
196.289062 -13.567641
197.753906 -13.538030
199.218750 -13.478964
200.683594 -13.458149
202.148437 -13.469746
203.613281 -13.455603
205.078125 -13.402011
206.542969 -13.372582
208.007812 -13.371591
209.472656 -13.346372
210.937500 -13.311775
212.402344 -13.315690
213.867187 -13.272729
215.332031 -13.229643
216.796875 -13.180385
218.261719 -13.160208
219.726562 -13.150221
221.191406 -13.126188
222.656250 -13.135072
224.121094 -13.097888
225.585937 -13.048365
227.050781 -13.018804
228.515625 -12.997911
229.980469 -12.963095
231.445312 -12.942275
232.910156 -12.940470
234.375000 -12.951180
235.839844 -12.939343
237.304687 -12.870330
238.769531 -12.859714
240.234375 -12.830730
241.699219 -12.790040
243.164062 -12.782460
244.628906 -12.734817
246.093750 -12.707226
247.558594 -12.670262
249.023437 -12.643418
250.488281 -12.591074
251.953125 -12.543591
253.417969 -12.483935
254.882812 -12.471744
256.347656 -12.470685
257.812500 -12.467790
259.277344 -12.444828
260.742187 -12.432117
262.207031 -12.405354
263.671875 -12.364829
265.136719 -12.315198
266.601562 -12.272068
268.066406 -12.224601
269.531250 -12.178821
270.996094 -12.118420
272.460937 -12.078212
273.925781 -12.029608
275.390625 -11.970981
276.855469 -11.906799
