# Spectral Data
# f in Hz A in dBV
Hz dBV
0.000000 -13.848843
1.464844 -13.084864
2.929687 -12.482075
4.394531 -11.965661
5.859375 -11.546794
7.324219 -11.244475
8.789062 -11.060753
10.253906 -10.930851
11.718750 -10.905362
13.183594 -10.945357
14.648437 -11.015081
16.113281 -11.133686
17.578125 -11.268296
19.042969 -11.358805
20.507812 -11.472242
21.972656 -11.572217
23.437500 -11.621438
24.902344 -11.691274
26.367187 -11.680804
27.832031 -11.699508
29.296875 -11.764700
30.761719 -11.852881
32.226562 -11.992420
33.691406 -12.107867
35.156250 -12.275713
36.621094 -12.441633
38.085937 -12.542940
39.550781 -12.651932
41.015625 -12.737365
42.480469 -12.788693
43.945312 -12.777987
45.410156 -12.777240
46.875000 -12.686640
48.339844 -12.616001
49.804687 -12.544291
51.269531 -12.344349
52.734375 -12.132418
54.199219 -11.929949
55.664062 -11.861673
57.128906 -11.927901
58.593750 -12.103909
60.058594 -12.322030
61.523437 -12.517847
62.988281 -12.616468
64.453125 -12.645748
65.917969 -12.617360
67.382812 -12.552704
68.847656 -12.484294
70.312500 -12.432589
71.777344 -12.339848
73.242187 -12.285835
74.707031 -12.244226
76.171875 -12.159871
77.636719 -12.146492
79.101562 -12.154270
80.566406 -12.228110
82.031250 -12.288702
83.496094 -12.357264
84.960937 -12.442750
86.425781 -12.553677
87.890625 -12.629600
89.355469 -12.688173
90.820312 -12.704946
92.285156 -12.731203
93.750000 -12.801209
95.214844 -12.813760
96.679687 -12.822852
98.144531 -12.862325
99.609375 -12.835527
101.074219 -12.861899
102.539062 -12.796264
104.003906 -12.767695
105.468750 -12.776719
106.933594 -12.820479
108.398437 -12.902568
109.863281 -12.912542
111.328125 -12.925619
112.792969 -12.942050
114.257812 -12.925128
115.722656 -12.917577
117.187500 -12.910091
118.652344 -12.877029
120.117187 -12.804531
121.582031 -12.721627
123.046875 -12.667387
124.511719 -12.593013
125.976562 -12.521207
127.441406 -12.417398
128.906250 -12.265208
130.371094 -12.125359
131.835937 -11.994921
133.300781 -11.826387
134.765625 -11.671044
136.230469 -11.565237
137.695312 -11.518209
139.160156 -11.552087
140.625000 -11.648033
142.089844 -11.807956
143.554687 -12.018671
145.019531 -12.281651
146.484375 -12.478611
147.949219 -12.546177
149.414062 -12.648767
150.878906 -12.717481
152.343750 -12.608830
153.808594 -12.457650
155.273437 -12.368136
156.738281 -12.391095
158.203125 -12.574885
159.667969 -12.825482
161.132812 -13.075072
162.597656 -13.229819
164.062500 -13.330846
165.527344 -13.396548
166.992187 -13.485530
168.457031 -13.585124
169.921875 -13.610015
171.386719 -13.605334
172.851562 -13.591405
174.316406 -13.544796
175.781250 -13.542664
177.246094 -13.510556
178.710937 -13.521050
180.175781 -13.553794
181.640625 -13.548846
183.105469 -13.544876
184.570312 -13.542530
186.035156 -13.513837
187.500000 -13.507518
188.964844 -13.500470
190.429687 -13.527512
191.894531 -13.570786
193.359375 -13.552947
194.824219 -13.494712
196.289062 -13.418870
197.753906 -13.353909
199.218750 -13.337684
200.683594 -13.351425
202.148437 -13.330976
203.613281 -13.346270
205.078125 -13.370569
206.542969 -13.317163
208.007812 -13.262286
209.472656 -13.217603
210.937500 -13.157769
212.402344 -13.092333
213.867187 -13.048602
215.332031 -13.013140
216.796875 -12.999195
218.261719 -12.967447
219.726562 -12.943947
221.191406 -12.908824
222.656250 -12.892823
224.121094 -12.873651
225.585937 -12.845595
227.050781 -12.787115
228.515625 -12.751273
229.980469 -12.753224
231.445312 -12.723715
232.910156 -12.690077
234.375000 -12.628439
235.839844 -12.634004
237.304687 -12.631191
238.769531 -12.556608
240.234375 -12.487989
241.699219 -12.441060
243.164062 -12.403562
244.628906 -12.357152
246.093750 -12.307795
247.558594 -12.317731
249.023437 -12.281264
250.488281 -12.273290
251.953125 -12.218162
253.417969 -12.134033
254.882812 -12.052472
256.347656 -12.011626
257.812500 -11.966825
259.277344 -11.878083
260.742187 -11.830478
262.207031 -11.761236
263.671875 -11.733871
265.136719 -11.693561
266.601562 -11.657060
268.066406 -11.581274
269.531250 -11.497283
270.996094 -11.455608
272.460937 -11.459285
273.925781 -11.501212
275.390625 -11.572617
276.855469 -11.727455
278.320312 -11.864044
279.785156 -12.032756
281.250000 -12.188835
282.714844 -12.331757
284.179687 -12.420208
285.644531 -12.538710
287.109375 -12.671718
288.574219 -12.778358
290.039062 -12.935370
291.503906 -13.090729
292.968750 -13.155254
294.433594 -13.231764
295.898437 -13.346051
297.363281 -13.442986
298.828125 -13.570926
300.292969 -13.628228
301.757812 -13.707827
303.222656 -13.771672
304.687500 -13.862430
306.152344 -13.943918
307.617187 -13.982186
309.082031 -14.064806
310.546875 -14.108041
312.011719 -14.155785
313.476562 -14.207383
314.941406 -14.259609
316.406250 -14.295196
317.871094 -14.331971
319.335937 -14.366945
320.800781 -14.399659
322.265625 -14.448483
323.730469 -14.488628
325.195312 -14.527894
326.660156 -14.602149
328.125000 -14.620625
329.589844 -14.593219
331.054687 -14.630564
332.519531 -14.630167
333.984375 -14.608939
335.449219 -14.636128
336.914062 -14.667382
338.378906 -14.725865
339.843750 -14.742405
341.308594 -14.755925
342.773437 -14.733687
344.238281 -14.720973
345.703125 -14.734243
347.167969 -14.721421
348.632812 -14.700672
350.097656 -14.624208
351.562500 -14.293939
353.027344 -13.905712
354.492187 -13.677462
355.957031 -13.621806
357.421875 -13.733462
358.886719 -14.009808
360.351562 -14.433584
361.816406 -14.665124
363.281250 -14.717876
364.746094 -14.737621
366.210937 -14.718402
367.675781 -14.686362
369.140625 -14.649790
370.605469 -14.578752
372.070312 -14.563558
373.535156 -14.541807
375.000000 -14.491673
376.464844 -14.426708
377.929687 -14.385033
379.394531 -14.344742
380.859375 -14.338758
382.324219 -14.297165
383.789062 -14.212490
385.253906 -14.117258
386.718750 -14.024889
388.183594 -13.947390
389.648437 -13.874926
391.113281 -13.773478
392.578125 -13.677690
394.042969 -13.566935
395.507812 -13.380635
396.972656 -13.246249
398.437500 -13.075774
399.902344 -12.971014
401.367187 -12.878876
402.832031 -12.813900
404.296875 -12.828142
405.761719 -12.866463
407.226562 -12.945724
408.691406 -13.031688
410.156250 -13.144850
411.621094 -13.257695
413.085937 -13.418539
414.550781 -13.515303
416.015625 -13.560336
417.480469 -13.602901
418.945312 -13.633774
420.410156 -13.721082
421.875000 -13.732183
423.339844 -13.758321
424.804687 -13.801134
426.269531 -13.888743
427.734375 -13.913864
429.199219 -13.943489
430.664062 -13.944173
432.128906 -13.951193
433.593750 -13.988607
435.058594 -13.984307
436.523437 -14.003439
437.988281 -14.003711
439.453125 -14.003144
440.917969 -13.999819
442.382812 -13.974069
443.847656 -14.010213
445.312500 -14.005608
446.777344 -13.972788
448.242187 -13.957638
449.707031 -13.886552
451.171875 -13.726927
452.636719 -13.564186
454.101562 -13.431608
455.566406 -13.365859
457.031250 -13.423494
458.496094 -13.582422
459.960937 -13.695712
461.425781 -13.759894
462.890625 -13.793842
464.355469 -13.827708
465.820312 -13.836850
467.285156 -13.830297
468.750000 -13.816440
470.214844 -13.845641
471.679687 -13.829206
473.144531 -13.803917
474.609375 -13.849516
476.074219 -13.880946
477.539062 -13.848585
479.003906 -13.831017
480.468750 -13.805676
481.933594 -13.791267
483.398437 -13.800226
484.863281 -13.818996
486.328125 -13.818732
487.792969 -13.868740
489.257812 -13.907663
490.722656 -13.961497
