# Spectral Data
f in Hz	A in dBV
# 0.000000	-14.472246
1.464844	-13.715150
2.929687	-13.129306
4.394531	-12.711931
5.859375	-12.351745
7.324219	-12.051559
8.789062	-11.882991
10.253906	-11.832293
11.718750	-11.861008
13.183594	-11.947687
14.648437	-12.096865
16.113281	-12.193285
17.578125	-12.315608
19.042969	-12.421349
20.507812	-12.507585
21.972656	-12.605832
23.437500	-12.694306
24.902344	-12.723711
26.367187	-12.656110
27.832031	-12.583388
29.296875	-12.521450
30.761719	-12.541533
32.226562	-12.549947
33.691406	-12.659363
35.156250	-12.795095
36.621094	-13.005041
38.085937	-13.222784
39.550781	-13.414935
41.015625	-13.563887
42.480469	-13.652142
43.945312	-13.660806
45.410156	-13.565727
46.875000	-13.429717
48.339844	-13.365344
49.804687	-13.369609
51.269531	-13.266984
52.734375	-13.005807
54.199219	-12.801509
55.664062	-12.704428
57.128906	-12.754598
58.593750	-12.955572
60.058594	-13.245775
61.523437	-13.571128
62.988281	-13.779158
64.453125	-13.829095
65.917969	-13.838595
67.382812	-13.833738
68.847656	-13.852408
70.312500	-13.899417
71.777344	-13.915622
73.242187	-13.921144
74.707031	-13.920335
76.171875	-13.906241
77.636719	-13.861846
79.101562	-13.852051
80.566406	-13.854199
82.031250	-13.907023
83.496094	-13.884085
84.960937	-13.846885
86.425781	-13.859969
87.890625	-13.898366
89.355469	-13.943939
90.820312	-14.046259
92.285156	-14.110721
93.750000	-14.088255
95.214844	-14.090161
96.679687	-14.079968
98.144531	-14.106771
99.609375	-14.177713
101.074219	-14.106068
102.539062	-14.063361
104.003906	-14.066006
105.468750	-14.022800
106.933594	-13.961132
108.398437	-13.876389
109.863281	-13.807784
111.328125	-13.775628
112.792969	-13.726837
114.257812	-13.724929
115.722656	-13.745522
117.187500	-13.768338
118.652344	-13.820338
120.117187	-13.943258
121.582031	-13.943801
123.046875	-13.959630
124.511719	-13.961651
125.976562	-13.953284
127.441406	-13.956034
128.906250	-13.952906
130.371094	-13.957179
131.835937	-13.962251
