# Spectral Data
# f in Hz	A in dBV
0.000000	-12.526718
1.464844	-11.787615
2.929687	-11.224775
4.394531	-10.855081
5.859375	-10.496170
7.324219	-10.162843
8.789062	-9.995752
10.253906	-9.958688
11.718750	-9.994332
13.183594	-10.099811
14.648437	-10.243979
16.113281	-10.411772
17.578125	-10.593553
19.042969	-10.735638
20.507812	-10.860498
21.972656	-10.985286
23.437500	-11.064385
24.902344	-11.137904
26.367187	-11.242398
27.832031	-11.341367
29.296875	-11.367265
30.761719	-11.475448
32.226562	-11.429877
33.691406	-11.488364
35.156250	-11.540757
36.621094	-11.668877
38.085937	-11.792806
39.550781	-11.893301
41.015625	-12.015457
42.480469	-12.106952
43.945312	-12.259270
45.410156	-12.268870
46.875000	-12.171949
48.339844	-12.101704
49.804687	-12.092451
51.269531	-11.988706
52.734375	-11.838106
54.199219	-11.701305
55.664062	-11.637638
57.128906	-11.668805
58.593750	-11.811662
60.058594	-11.917776
61.523437	-12.038747
62.988281	-12.184084
64.453125	-12.210055
65.917969	-12.250715
67.382812	-12.305682
68.847656	-12.293145
70.312500	-12.331187
71.777344	-12.238660
73.242187	-12.160813
74.707031	-12.089737
76.171875	-12.020347
77.636719	-12.000983
79.101562	-12.042740
80.566406	-12.130463
82.031250	-12.228651
83.496094	-12.246463
84.960937	-12.281239
86.425781	-12.382780
87.890625	-12.435919
89.355469	-12.401853
90.820312	-12.395508
92.285156	-12.432114
93.750000	-12.399952
95.214844	-12.438738
96.679687	-12.469533
98.144531	-12.512635
99.609375	-12.611091
101.074219	-12.610843
102.539062	-12.601089
104.003906	-12.690449
105.468750	-12.745813
106.933594	-12.687184
108.398437	-12.649288
109.863281	-12.602993
111.328125	-12.635042
112.792969	-12.657288
114.257812	-12.680244
115.722656	-12.685698
117.187500	-12.739242
118.652344	-12.796592
120.117187	-12.822663
121.582031	-12.752826
123.046875	-12.679146
124.511719	-12.530492
125.976562	-12.396370
127.441406	-12.378258
128.906250	-12.316224
130.371094	-12.198726
131.835937	-12.117904
133.300781	-12.069514
134.765625	-12.020468
136.230469	-11.928844
137.695312	-11.898067
139.160156	-11.986692
140.625000	-12.067163
142.089844	-12.172229
143.554687	-12.367139
145.019531	-12.354277
146.484375	-12.488482
147.949219	-12.603759
149.414062	-12.685688
150.878906	-12.695601
152.343750	-12.677406
153.808594	-12.562832
155.273437	-12.478877
156.738281	-12.506830
158.203125	-12.646681
159.667969	-12.884034
161.132812	-13.092495
162.597656	-13.172190
164.062500	-13.166182
165.527344	-13.175274
166.992187	-13.171917
168.457031	-13.294994
169.921875	-13.273836
171.386719	-13.217009
172.851562	-13.241712
174.316406	-13.338506
175.781250	-13.396812
177.246094	-13.408120
178.710937	-13.401014
180.175781	-13.389205
181.640625	-13.378527
183.105469	-13.427405
184.570312	-13.445234
186.035156	-13.359955
187.500000	-13.370090
188.964844	-13.420911
190.429687	-13.419097
191.894531	-13.421456
193.359375	-13.422722
194.824219	-13.383972
196.289062	-13.413036
197.753906	-13.422672
199.218750	-13.409547
200.683594	-13.358769
202.148437	-13.281936
203.613281	-13.265395
205.078125	-13.295566
206.542969	-13.222930
208.007812	-13.214401
209.472656	-13.230078
210.937500	-13.296631
212.402344	-13.251454
213.867187	-13.166392
215.332031	-13.088435
216.796875	-13.107112
218.261719	-13.172554
219.726562	-13.066346
221.191406	-12.932967
222.656250	-12.863340
224.121094	-12.854364
225.585937	-12.905962
227.050781	-12.915672
228.515625	-12.970953
229.980469	-13.090043
231.445312	-13.007681
232.910156	-12.927591
234.375000	-12.886050
235.839844	-12.846013
237.304687	-12.853501
238.769531	-12.861751
240.234375	-12.793372
241.699219	-12.810701
243.164062	-12.830606
244.628906	-12.749917
246.093750	-12.779259
247.558594	-12.762557
249.023437	-12.648493
250.488281	-12.589894
251.953125	-12.547893
253.417969	-12.471331
254.882812	-12.402186
256.347656	-12.350500
257.812500	-12.339241
259.277344	-12.334725
260.742187	-12.335765
262.207031	-12.335038
263.671875	-12.293400
265.136719	-12.345974
266.601562	-12.273933
268.066406	-12.175164
269.531250	-12.028727
270.996094	-12.022060
272.460937	-12.048984
273.925781	-12.160789
275.390625	-12.225405
276.855469	-12.338723
278.320312	-12.421883
279.785156	-12.410088
281.250000	-12.499840
282.714844	-12.640038
284.179687	-12.712372
285.644531	-12.852323
287.109375	-12.942326
288.574219	-13.075742
290.039062	-13.136909
291.503906	-13.193190
292.968750	-13.284052
294.433594	-13.468925
295.898437	-13.507788
297.363281	-13.594215
298.828125	-13.628776
300.292969	-13.673389
301.757812	-13.692292
303.222656	-13.771708
304.687500	-13.927266
306.152344	-14.040011
307.617187	-13.952629
309.082031	-13.954302
310.546875	-13.947556
312.011719	-13.974652
313.476562	-14.010050
314.941406	-14.057830
316.406250	-14.074110
317.871094	-14.078217
319.335937	-14.070473
320.800781	-14.072828
322.265625	-14.166010
323.730469	-14.294567
325.195312	-14.331948
326.660156	-14.287317
328.125000	-14.377920
329.589844	-14.414693
331.054687	-14.436175
332.519531	-14.359955
333.984375	-14.272976
335.449219	-14.274558
336.914062	-14.273966
338.378906	-14.400316
339.843750	-14.434356
341.308594	-14.426636
342.773437	-14.444001
344.238281	-14.415151
345.703125	-14.370354
347.167969	-14.374017
348.632812	-14.315995
350.097656	-14.172696
351.562500	-14.076758
353.027344	-13.797223
354.492187	-13.653452
355.957031	-13.655467
357.421875	-13.729596
358.886719	-13.946049
360.351562	-14.188245
361.816406	-14.358973
363.281250	-14.526610
364.746094	-14.438591
366.210937	-14.444481
367.675781	-14.444146
369.140625	-14.371531
370.605469	-14.382035
372.070312	-14.449284
373.535156	-14.310311
375.000000	-14.200478
376.464844	-14.192192
377.929687	-14.292595
379.394531	-14.366497
380.859375	-14.235233
382.324219	-14.166612
383.789062	-14.178580
385.253906	-14.179336
386.718750	-14.076341
388.183594	-14.002521
389.648437	-13.858342
391.113281	-13.846093
392.578125	-13.831724
394.042969	-13.706033
395.507812	-13.554254
396.972656	-13.406920
398.437500	-13.315835
399.902344	-13.272858
401.367187	-13.163394
402.832031	-13.169906
404.296875	-13.110627
405.761719	-13.097730
407.226562	-13.158519
408.691406	-13.218388
410.156250	-13.313522
411.621094	-13.464909
413.085937	-13.654741
414.550781	-13.643687
416.015625	-13.683075
417.480469	-13.627434
418.945312	-13.598824
420.410156	-13.661313
421.875000	-13.706857
423.339844	-13.760596
424.804687	-13.852690
426.269531	-13.882372
427.734375	-13.967003
429.199219	-13.952240
430.664062	-13.958593
432.128906	-13.940959
433.593750	-13.920369
435.058594	-14.077551
436.523437	-14.085618
437.988281	-13.987619
439.453125	-14.058280
440.917969	-14.039791
442.382812	-14.020542
443.847656	-14.034685
445.312500	-14.111110
446.777344	-14.011365
448.242187	-13.940684
449.707031	-13.877252
451.171875	-13.867204
452.636719	-13.768257
454.101562	-13.635400
455.566406	-13.630890
457.031250	-13.805010
458.496094	-13.868275
459.960937	-13.860595
461.425781	-13.840017
462.890625	-13.816070
464.355469	-13.876384
465.820312	-13.956552
467.285156	-13.943902
468.750000	-13.950855
470.214844	-13.892748
471.679687	-13.914128
473.144531	-13.863533
474.609375	-13.813245
476.074219	-13.843094
477.539062	-13.910603
479.003906	-13.828617
480.468750	-13.773699
481.933594	-13.852422
483.398437	-13.953847
484.863281	-14.053369
486.328125	-14.154228
487.792969	-14.082169
489.257812	-13.932801
490.722656	-13.904415
492.187500	-13.972330
493.652344	-13.962039
495.117187	-13.891995
496.582031	-13.916584
498.046875	-13.932094
499.511719	-13.968953
500.976562	-14.005053
502.441406	-13.960970
503.906250	-13.937905
505.371094	-13.913891
506.835937	-13.938835
508.300781	-13.977814
509.765625	-14.022691
511.230469	-13.965627
512.695312	-13.926864
514.160156	-13.933059
515.625000	-13.947895
517.089844	-13.998333
518.554687	-13.971739
520.019531	-13.900779
521.484375	-13.900484
522.949219	-13.954183
524.414062	-13.962047
525.878906	-13.957507
527.343750	-13.842740
528.808594	-13.749753
530.273437	-13.736820
531.738281	-13.634728
533.203125	-13.614399
534.667969	-13.551064
536.132812	-13.424543
537.597656	-13.388279
539.062500	-13.417194
540.527344	-13.481060
541.992187	-13.482903
543.457031	-13.500980
544.921875	-13.612811
546.386719	-13.729088
547.851562	-13.834376
549.316406	-13.923878
550.781250	-14.104380
552.246094	-14.104751
553.710937	-14.045731
555.175781	-14.047586
556.640625	-14.028712
558.105469	-14.120336
559.570312	-14.260212
561.035156	-14.415240
562.500000	-14.473557
563.964844	-14.606101
565.429687	-14.777726
566.894531	-14.718391
568.359375	-14.651521
569.824219	-14.688401
571.289062	-14.700708
572.753906	-14.684234
574.218750	-14.762288
575.683594	-14.769742
577.148437	-14.796708
578.613281	-14.784035
580.078125	-14.915338
581.542969	-14.894179
583.007812	-14.922045
584.472656	-14.865683
585.937500	-14.848574
587.402344	-14.862840
588.867187	-14.873716
590.332031	-14.958536
591.796875	-14.952764
593.261719	-14.913936
594.726562	-14.879784
596.191406	-14.835877
597.656250	-14.900380
599.121094	-14.994701
600.585937	-14.988018
602.050781	-14.934947
603.515625	-14.861712
604.980469	-14.900739
606.445312	-15.008792
607.910156	-14.981795
609.375000	-14.925984
